Card,Colors,Notes,Image,Image URL
Hedron Crab,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),Blue creature; landfall mills three — iconic mono-blue mill engine.,https://cards.scryfall.io/normal/front/d/1/d109b70e-862f-4d8a-8b40-ef6dc904868f.jpg?1743206333,https://cards.scryfall.io/normal/front/d/1/d109b70e-862f-4d8a-8b40-ef6dc904868f.jpg?1743206333
Llanowar Elves,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),"Green creature; taps for permanent, repeatable green mana — iconic mana dork.",https://cards.scryfall.io/normal/front/6/a/6a0b230b-d391-4998-a3f7-7b158a0ec2cd.jpg?1731652605,https://cards.scryfall.io/normal/front/6/a/6a0b230b-d391-4998-a3f7-7b158a0ec2cd.jpg?1731652605
Maro,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green creature; P/T equal to cards in your hand — the literal namesake of the Maro ability.,https://cards.scryfall.io/normal/front/9/1/9159e250-4eec-4ec4-80e1-42259331b3b9.jpg?1562738549,https://cards.scryfall.io/normal/front/9/1/9159e250-4eec-4ec4-80e1-42259331b3b9.jpg?1562738549
"Etali, Primal Storm",Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red Dinosaur; on attack exile top of EACH player's library and cast for free.,https://cards.scryfall.io/normal/front/b/6/b6af9894-95b5-4c8e-902f-a9ba70f02e4a.jpg?1730489317,https://cards.scryfall.io/normal/front/b/6/b6af9894-95b5-4c8e-902f-a9ba70f02e4a.jpg?1730489317
Cathartic Reunion,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red sorcery; discard two THEN draw three (rummaging: discard before draw).,https://cards.scryfall.io/normal/front/e/3/e3bca51a-b9be-4be2-a256-b15853fde433.jpg?1767731067,https://cards.scryfall.io/normal/front/e/3/e3bca51a-b9be-4be2-a256-b15853fde433.jpg?1767731067
Argivian Find,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White instant; return an artifact (or enchantment) card from GY to hand.,https://cards.scryfall.io/normal/front/8/9/89f23295-ad0a-4e2d-ae04-1a9c065e575d.jpg?1562802015,https://cards.scryfall.io/normal/front/8/9/89f23295-ad0a-4e2d-ae04-1a9c065e575d.jpg?1562802015
Bolas's Citadel,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black artifact; cast spells off your top paying life instead of mana (free of mana).,https://cards.scryfall.io/normal/front/d/2/d2124603-d20e-40eb-97f0-a66323397ac2.jpg?1591205069,https://cards.scryfall.io/normal/front/d/2/d2124603-d20e-40eb-97f0-a66323397ac2.jpg?1591205069
Polymorph,Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21),"The namesake Blue sorcery; destroy a creature, dig to reveal a creature into play.",https://cards.scryfall.io/normal/front/8/3/83d274f4-452b-4ff2-b026-83667e9ba98f.jpg?1721690862,https://cards.scryfall.io/normal/front/8/3/83d274f4-452b-4ff2-b026-83667e9ba98f.jpg?1721690862
Monastery Swiftspear,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),"Red one-drop, the signature Prowess creature.",https://cards.scryfall.io/normal/front/d/6/d6bfa227-4309-40ed-952c-279595eab17e.jpg?1701690543,https://cards.scryfall.io/normal/front/d/6/d6bfa227-4309-40ed-952c-279595eab17e.jpg?1701690543
Panic,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red instant literally named Panic; target creature can't block this turn.,https://cards.scryfall.io/normal/front/c/3/c3e48eae-7cae-44f0-b009-71f37e698756.jpg?1562870475,https://cards.scryfall.io/normal/front/c/3/c3e48eae-7cae-44f0-b009-71f37e698756.jpg?1562870475
Browbeat,Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),Red punisher: opponent chooses 5 damage to them or you draw three cards.,https://cards.scryfall.io/normal/front/7/e/7e8e9f60-f8ea-4f29-b7e2-ca87f8336fca.jpg?1562437499,https://cards.scryfall.io/normal/front/7/e/7e8e9f60-f8ea-4f29-b7e2-ca87f8336fca.jpg?1562437499
Pacifism,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),The namesake White Aura; enchanted creature can't attack or block.,https://cards.scryfall.io/normal/front/4/3/433eed50-81af-4a59-b624-57b6f5f1bb0f.jpg?1780925747,https://cards.scryfall.io/normal/front/4/3/433eed50-81af-4a59-b624-57b6f5f1bb0f.jpg?1780925747
Raise Dead,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),The classic Black spell; return a creature card from GY to hand.,https://cards.scryfall.io/normal/front/4/9/4950c3c2-80c1-4447-ac38-cf40f76b9545.jpg?1562198355,https://cards.scryfall.io/normal/front/4/9/4950c3c2-80c1-4447-ac38-cf40f76b9545.jpg?1562198355
Giant Spider,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Classic Green Reach creature; can block fliers.,https://cards.scryfall.io/normal/front/2/1/213c9202-b6f4-43ab-b57f-b97a1da5e263.jpg?1675200431,https://cards.scryfall.io/normal/front/2/1/213c9202-b6f4-43ab-b57f-b97a1da5e263.jpg?1675200431
Life from the Loam,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Staple Green sorcery; return up to three land cards from GY to hand.,https://cards.scryfall.io/normal/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.jpg?1743206055,https://cards.scryfall.io/normal/front/c/d/cdb6432f-3f56-4c92-b09a-2a5b64620c04.jpg?1743206055
Restock,Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),Green sorcery named Restock; return two cards from GY to hand.,https://cards.scryfall.io/normal/front/3/4/343994a6-b4f1-4ec5-997a-307b26601434.jpg?1562784973,https://cards.scryfall.io/normal/front/3/4/343994a6-b4f1-4ec5-997a-307b26601434.jpg?1562784973
Silence,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),White instant; opponents can't cast spells this turn (preventing actions).,https://cards.scryfall.io/normal/front/1/c/1c2b13b1-31f0-4676-88a7-53f3a190e9a2.jpg?1562826686,https://cards.scryfall.io/normal/front/1/c/1c2b13b1-31f0-4676-88a7-53f3a190e9a2.jpg?1562826686
Mother of Runes,White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21),"White Cleric; grants protection from a chosen color, the iconic protection enabler.",https://cards.scryfall.io/normal/front/a/5/a5e19147-e459-43a6-8ef0-e37968a462e3.jpg?1674141175,https://cards.scryfall.io/normal/front/a/5/a5e19147-e459-43a6-8ef0-e37968a462e3.jpg?1674141175
Midnight Reaper,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),Black Zombie; draw a card whenever a nontoken creature you control dies.,https://cards.scryfall.io/normal/front/f/2/f229b0e6-1ffd-410e-b04b-a0afc179c58c.jpg?1730490908,https://cards.scryfall.io/normal/front/f/2/f229b0e6-1ffd-410e-b04b-a0afc179c58c.jpg?1730490908
